,TEM,TIT,CON,ENL,IMG,FEC
247,Enlaces,,vocabulario español / hipálage,https://www.retoricas.com/2011/01/ejemplos-de-hipalage.html,https://upload.wikimedia.org/wikipedia/commons/6/6a/Johann_Sebastian_Bach.jpg,2025-02-24 16:47
246,Enlaces,,diccionarios inglés / Dictionary.com,https://www.dictionary.com,,2025-02-24 16:45
245,Enlaces,,vocabulario inglés / munch,https://www.merriam-webster.com/dictionary/munch,,2025-02-24 10:17
244,Vocabulario inglés-español,trial [s.],"trial [s.] dificultad, tribulación, prueba, adversidad ¶ and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. It will be found more adventurous than its predecessors, and the trials which Charlie is called upon to encounter are of a severer character than befell Frank Frost or Paul Prescott. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:49
243,Vocabulario inglés-español,adventurous [adj.],"adventurous [adj.] osado, audaz, temerario, intrépido ¶ and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. It will be found more adventurous than its predecessors, and the trials which Charlie is called upon to encounter are of a severer character than befell Frank Frost or Paul Prescott. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:41
242,Vocabulario inglés-español,story of the sea [s.c.],"story of the sea [s.c.] historia de mar; relato de mar ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:38
241,Vocabulario inglés-español,essay [v.],"essay [v.] intentar; ensayar ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:34
240,Enlaces,,diccionarios español / Diccionario histórico de la lengua española,https://www.rae.es/dhle/,,2025-02-23 11:52
239,Enlaces,,diccionarios chino-inglés / Cedict – is.gd/cedict,https://www.mdbg.net/chinese/dictionary,,2025-02-23 11:48
238,Vocabulario inglés-español,expressed wishes [s.c.],"expressed wishes [s.c.] deseos manifiestos ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 10:47
237,Apotegmas,,"Que las vanas complejidades y mojigaterías del reino de los cielos no te extravíen ni te distraigan de la simpleza y el amor absoluto de Dios. Permanece firme, deséchalo todo, no te dividas.",,,2025-02-23 10:05
236,Apotegmas,,"Del Diablo sólo viene la condenación, y de Dios solamente la salvación.",,,2025-02-23 09:51
235,Apotegmas,,Se regocijan en el cielo por cada persona que dirige todo su ser en oración a Dios. Literalmente hay fiesta.,,,2025-02-22 10:40
234,Citas,,Conocimiento es saber que el tomate es una fruta. Sabiduría es no ponerlo en la ensalada de frutas. – Anónimo,,,2025-02-22 08:09
233,Enlaces,,canales en YouTube / Andy Ward's Ancient Pottery - @AncientPottery,https://www.youtube.com/@AncientPottery/videos,,2025-02-22 07:36
232,Enlaces,,vocabulario inglés / threshold,https://www.merriam-webster.com/dictionary/threshold,,2025-02-20 22:31
231,Apotegmas,,"No olvides que Dios no es omnipotente, porque no puede forzarte a volverte a él. Entonces, has de definir tus intenciones, tomar las decisiones mejores, abrazar su voluntad. Y, sobre todo, no caigas en la ilusión de que has sido elegido, pues Dios nunca hace acepción de personas.",,,2025-02-20 22:29
230,Enlaces,,Johann Sebastian Bach / lista completa de sus composiciones,https://musopen.org/music/composer/johann-sebastian-bach/pieces/,,2025-02-20 11:32
229,Reflexiones,,"No seas una oveja, sé una cabra: sube al monte al encuentro con Dios. Sabes que tú eres el monte, ¿verdad? Sabes que la zarza es la Luz de Dios en ti, ¿verdad? Sabes que quienes no suben son los que no quieren morir en la carne, que es su falsa religiosidad, ¿verdad?",,,2025-02-19 21:52
228,Apotegmas,,"Una vez que empiezas a usar fetiches, amuletos y baratijas para que te vaya bien, se te hará muy difícil dejar el vicio para volver a confiar en Dios. Es el mismo mecanismo que el de las apuestas.",,,2025-02-19 21:48
227,Apotegmas,,"No mires mi humildad, Señor, porque es falsa; tampoco mi altivez, porque es ignorancia. Sólo quiero tu amor, y con eso basta.",,,2025-02-19 10:01
226,Apotegmas,,"Mientras más aberraciones puede normalizar la Agenda, más feliz es. No le demos el gusto.",,,2025-02-19 07:52
225,Enlaces,,vocabulario español / grimorio,https://dle.rae.es/grimorio,,2025-02-18 20:30
224,Diario,,"El sitio ha alcanzado plena funcionalidad y se han corregido las fallas de programación. Faltan algunos detalles, además de la posibilidad de mostrar imágenes desde la base de datos. Otras implementaciones vendrán después, pero con menos urgencia.",,,2025-02-18 14:38
223,Enlaces,,vocabulario latín-inglés / vincor,https://www.lingq.com/en/learn-latin-online/translate/la/vincor/,,2025-02-18 14:37
222,Vocabulario inglés-español,in deference to [loc.],"in deference to [loc.] en consideración a ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-18 13:06
221,Diario,,"Hoy terminé de subir todos mis enlaces de interés a un repositorio en GitHub, miles de ellos. El sitio cuenta con posibilidades de busca, copia y descarga.",https://enlcs.github.io,,2025-02-17 20:11
220,Reflexiones,,Ahora resulta que pie grande era un adelantado a su tiempo que se autopercibía oso o chimpancé según el día de la semana. Un incomprendido.,,,2025-02-16 00:02
219,Vocabulario inglés-español,cast iron [s.c.],cast iron [s.c.] hierro fundido,,,2025-02-13 22:08
218,Vocabulario inglés-español,wrought iron [s.c.],wrought iron [s.c.] hierro forjado,,,2025-02-13 22:07
217,Enlaces,,canales en YouTube / Jesús G. Maestro - @JesusGMaestro,https://www.youtube.com/@JesusGMaestro/videos,,2025-02-13 22:04
216,Enlaces,,diccionarios francés / Dictionnaire de l'Académie française,https://www.dictionnaire-academie.fr,,2025-02-13 22:02
215,Vocabulario español,"extemporáneo, ea [adj.]","SINÓNIMOS: extemporáneo; inadecuado, impropio, inconveniente, inapropiado; intempestivo, inoportuno, extemporal",,,2025-02-13 15:21
214,Enlaces,,vocabulario español / parsimonia,https://dle.rae.es/parsimonia,,2025-02-13 15:19
213,Enlaces,,vocabulario español / seitán,https://es.wikipedia.org/wiki/Seit%C3%A1n,,2025-02-13 15:18
212,Enlaces,,"vocabulario español / yatrogenia, iatrogenia",https://dle.rae.es/yatrogenia,,2025-02-13 15:16
211,Apotegmas,,"Reducir a Dios a conceptos te hará sentir fuerte y confiado; ¿pero no has leído que Dios está con los humildes, los pobres de espíritu y los niños?",,,2025-02-13 13:53
210,Enlaces,,vocabulario español / mascullar,https://dle.rae.es/mascullar,,2025-02-13 12:01
209,Enlaces,,vocabulario español / sicalipsis,https://dle.rae.es/sicalipsis,,2025-02-13 11:52
208,Enlaces,,canales en YouTube / Let's Talk Religion,https://www.youtube.com/@LetsTalkReligion/videos,,2025-02-13 08:25
207,Enlaces,,vocabulario español / soliviar,https://dle.rae.es/soliviar,,2025-02-12 18:45
206,Vocabulario español,"garzo, -za [adj.]","garzo, -za [adj.] Zarco; de color azulado (dícese de los ojos). — [adj.] Persona de ojos azulados.",,,2025-02-12 14:42
205,Vocabulario inglés-español,drool [v.],drool [v.] babear,,,2025-02-12 14:40
204,Citas,,"Recordad el pasado con gratitud, vivid el presente con entusiasmo y mirad hacia el futuro con confianza. – Juan Pablo II",,,2025-02-12 14:38
203,Apotegmas,,"Cuando alguien cuestione tus convicciones acerca de Dios, no le respondas con sinsentidos filosóficos, historicistas, teológicos y seudoreligiosos. La solución es ser humilde de verdad y expresar con simpleza la única verdad con fundamento: Es un asunto de fe.",,,2025-02-12 13:14
202,Apotegmas,,Hay quien escupe al cielo para sentirse bendecido con la lluvia de Dios.,,,2025-02-11 20:38
201,Reflexiones,,"Bajo la palabra Dios se hace alusión a más variedad de cosas que lo que piensas. Si el contenido de esa palabra en ti es el equivocado, estarás adorando a un falso dios, lo cual es idolatría sin importar si haces una estatua de él o no, pero mucho más si la haces.",,,2025-02-11 20:36
200,Vocabulario inglés-español,lecherous [adj.],"lecherous [adj.] lascivo, lujurioso, libidinoso, licencioso",,,2025-02-11 20:33
199,Apotegmas,,"La santidad está más allá de los vaivenes entre el bien y el mal; pero cuando dices que el bien y el mal no existen, pierdes la posibilidad de acceder a ella.",,,2025-02-11 20:32
198,Reflexiones,,Adivina adivinador: ¿En qué se asemejan la verdad y la mentira? En que ambas separan a las personas.,,,2025-02-11 20:30
197,Reflexiones,,Would you rather be a happy slave or a suffering freeman? Is there an intermediate option to meet your criteria?,,,2025-02-11 20:27
196,Vocabulario inglés-español,vermin [s.],"vermin [s.] parásito, alimañas ¶ One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. – Metamorphosis; by Franz Kafka. Translated by David Wyllie.",,,2025-02-11 20:23
195,Apotegmas,,Take it for granted: God cannot forsake you. It's not of his nature. But you can do things that make you forget about him almost forever.,,,2025-02-11 12:32
194,Música,,Johann Sebastian Bach – Variaciones Goldberg (BWV 988),https://youtu.be/i4P6F9-4uq8,,2025-02-10 19:11
193,Citas,,Foreign aid is taking money from poor people in rich countries and giving it to rich people in poor countries. – Ron Paul,,,2025-02-10 12:09
192,Enlaces,,"glosarios, gramática / Glosario de términos gramaticales",https://rae.es/gtg/,,2025-02-10 09:38
191,Enlaces,,"diccionarios de sinónimos ingleses / Roget’s Thesaurus, by Peter Mark Roget",https://gutenberg.org/ebooks/22,,2025-02-10 09:33
190,Enlaces,,libros / 1000 Mythological Characters Briefly Described by Edward Sylvester Ellis,https://gutenberg.org/ebooks/42474,,2025-02-10 08:32
189,Apotegmas,,"Busca primero a Dios y todo lo demás vendrá por sí mismo; pero lo demás ya no te importará o incluso lo despreciarás, porque ahora tienes a Dios.",,,2025-02-09 22:22
188,Reflexiones,,"Con la búsqueda racional de Dios se puede llegar hasta cierto punto, a cierto nivel de abstracción, a especulaciones complejas. Si, por soberbia, quien busca se contenta con eso, sometiendo así la fe a la razón, no podrá seguir adelante.",,,2025-02-09 22:21
187,Poesía,El celo de los poderosos,"Los ángeles tienen envidia, ¦ los arcángeles tienen celo, ¦ porque Dios nace en tu corazón ¦ y no en el reino de los cielos. ¶ Por qué, claman los encumbrados ¦ por qué, reclaman los poderosos, ¦ Porque en el amor humano ¦ está mi verdadero Reino.",,,2025-02-09 22:16
186,Vocabulario inglés-español,be lost for words [loc.],be lost for words [loc.] faltarle a uno las palabras; quedarse sin palabras; no encontrar las palabras,,,2025-02-09 21:41
185,Enlaces,,vocabulario español / teleología,https://dle.rae.es/teleolog%C3%ADa,,2025-02-09 21:36
184,Vocabulario español,ímprobo [adj.],"ímprobo [adj.] Falto de honradez, de honestidad; falto de probidad.",,,2025-02-09 21:37
183,Reflexiones,,"Si no predicas lo que Dios te pide, terminarás engullido por las ideologías y doctrinas del mundo, como Jonás en aquel gran pez. Aun así, si ya has sido tragado por el abismo y oras a Dios, volverás a la vida, serás resucitado.",,,2025-02-09 20:10
182,Vocabulario español,enconar [v.],enconar [v.] Inflamar una herida. Irritar el ánimo contra alguien.,,,2025-02-09 20:08
181,Enlaces,,vocabulario español / falcón,https://dle.rae.es/falcón,,2025-02-09 20:07
180,Vocabulario español,enconado [adj.],"enconado [adj.] Violento, encarnizado, reñido, airado. Manchado, teñido.",,,2025-02-09 20:06
179,Vocabulario inglés-español,second to last [loc.],second to last [loc.] penúltimo [adj.],,,2025-02-09 20:05
178,Vocabulario inglés-español,nib [s.],"nib [s.] plumín, punta (de una pluma para escribir)",,,2025-02-09 20:03
177,Vocabulario inglés-español,pinprick [s.],pinprick [s.] pinchazo; alfilerazo; puntada; agujerito; pequeño inconveniente; pequeña molestia; irritación,,,2025-01-31 10:00
176,Apotegmas,,Los cielos se oscurecen para que Dios resplandezca más.,,,2025-01-30 11:25
175,Vocabulario inglés-español,and whatnot [loc.],"and whatnot [loc.] y demás; y etcétera; y esas cosas; y cosas por el estilo ¶ Bring some snacks, cookies and whatnot to the party.",,,2025-01-30 10:56
174,Vocabulario español,"llovizna, lloviznar","SINÓNIMOS: llovizna, lloviznar; mollina, mollinear; mollizna, molliznar, molliznear; pintear; garúa, garuar",,,2025-01-30 10:55
173,Vocabulario español,atisbo [m.],"SINÓNIMOS: atisbo [m.] barrunto, conjetura, destello, índice (indicio), indicio, presunción, reflejo, señal, vislumbre",,,2025-01-30 10:54
172,Vocabulario español,tomar alguien el tole [loc.coloq.],tomar alguien el tole [loc.coloq.] Partir apresuradamente.,,,2025-01-30 10:49
171,Vocabulario inglés-español,bedding [s.],"bedding [s.] ropa de cama; sábanas; prendas de cama ¶ He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment. – Metamorphosis; by Franz Kafka. Translated by David Wyllie.",,,2025-01-30 10:06
170,Vocabulario inglés-español,gilded [adj.],"gilded [adj.] dorado (recubierto de oro) ¶ A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame. It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. – Metamorphosis; by Franz Kafka. Translated by David Wyllie.",,,2025-01-30 10:02
169,Diario,,"Muy probablemente empiece a agregar entradas de programación y de vocabulario en este sitio, para simplificar el trabajo y para no tener contenido disperso.",,,2025-01-30 09:22
168,Reflexiones,,Que no te quite mucho el sueño el hecho de que busques estar solo en lugar de estar con tus amigos. Es muy probable que prefieras el recuerdo que tienes de ellos a aquello en lo que se han convertido.,,,2025-01-29 23:14
167,Reflexiones,,"Las discusiones y debates entre cristianos e hinduistas y budistas, acerca de la supuesta reencarnación, por lo común no terminan en nada. La razón es que el concepto de alma cambia de religión en religión y también el de espíritu. Luego, las refutaciones son totalmente inútiles.",,,2025-01-28 22:19
166,Apotegmas,,"Dice el necio en su corazón: te haré esclavo de mi dios y si no adhieres a mi secta, irás al infierno que yo mismo estoy creando.",,,2025-01-28 22:18
165,Apotegmas,,"Algunas religiosidades son una forma piadosa de evitar a Dios, de no verlo cara a cara.",,,2025-01-28 22:17
164,Poesía,Libertad,"Sin libertad en ti ¦ no hay Dios Verdadero, ¦ ¿quieres esa libertad? ¦ sacrifica la carne primero.",,,2025-01-28 21:24
163,Reflexiones,,"Así como el Sol a simple vista parece parte de nuestro cielo, así también Dios parece parte del reino de los cielos, pero en realidad está mucho más allá y es muchísimo más que eso. No que el Sol sea Dios, sino que la creación manifiesta los atributos de la Divinidad.",,,2025-01-28 21:01
162,Apotegmas,,La vida es eterna y debe ser vivida como tal.,,,2025-01-27 13:16
161,Apotegmas,,"Cuando tu destino es andar, lo único necesario es que des el primer paso.",,,2025-01-26 22:14
160,Apotegmas,,"Allí donde la razón se queda estupefacta, empieza la fe.",,,2025-01-26 22:10
159,Apotegmas,,De vez en cuando la religión es un infierno de santidad. De vez en cuando.,,,2025-01-26 20:18
158,Citas,,You will never understand bureaucracies until you understand that for bureaucrats procedure is everything and outcomes are nothing. – Thomas Sowell,,,2025-01-26 08:37
157,Citas,,"Después de tantos años estudiando la ética, he llegado a la conclusión de que toda ella se resume en tres virtudes: coraje para vivir, generosidad para convivir y prudencia para sobrevivir. – Fernando Savater",,,2025-01-26 08:33
156,Apotegmas,,"Con cada beso entre un hombre y una mujer, el reino de los cielos tiembla y Dios se regocija.",,,2025-01-24 17:33
155,Apotegmas,,Lo bueno de no tener dinero es que puedes gastarlo en lo que se te ocurra.,,,2025-01-24 17:32
154,Apotegmas,,"No estés con dos o más mujeres a la vez. Es decir, no adoptes más de una doctrina o no hagas más de un pacto con Dios. Sólo el pacto puro trae la Luz al mundo.",,,2025-01-24 15:17
153,Reflexiones,,"Dios es lo más cotidiano y humano que existe, lo más pequeño. Lo del misticismo ha sido usado por eones para manipular a las gentes y obtener poder mundano. Los delirios de grandeza, el misticismo y el misterio son propios del reino de los cielos, no de Dios.",,,2025-01-24 15:16
152,Citas,,"The task is not to see what has never been seen before, but to think what has never been thought before about what you see everyday. – Erwin Schrödinger",,,2025-01-24 10:21
151,Citas,,"Las aptitudes morales y las aptitudes intelectuales van juntas. Un hombre bueno es inteligente, y uno malo es, además, imbécil. – Jorge Luis Borges",,,2025-01-24 10:14
150,Apotegmas,,"Es increíble lo que puedes lograr con un poco de mala voluntad e inconstancia. No cejes, hasta que finalmente puedas hacer las cosas por amor y para servir al prójimo.",,,2025-01-23 22:11
149,Reflexiones,,"Hubo un tiempo en que los hombres éramos dichosos habitando en el Ser, pero de alguna forma, o por alguna razón, desviamos la mirada y anhelamos lo de fuera. Es así que empezamos a existir. Si deseas volver al Ser, te parecerá mal. Si deseas lo de fuera, te parecerá normal.",,,2025-01-23 22:06
148,Reflexiones,,"Si Dios no habita en templos hechos por manos humanas, ¿qué o quién era la entidad que habitaba en el tabernáculo? ¿Un ángel de Dios?",,,2025-01-23 22:05
147,Diario,,"Me salen cabellos de plata, literalmente. Un día tengo que reunirlos, fundirlos en un crisol y salir a hacer dinero. Fácil.",,,2025-01-23 22:03
146,Reflexiones,,También puedes convertirte en un fanático de la verdad. No es tan recomendable como parece.,,,2025-01-23 22:02
145,Apotegmas,,"La simplicidad de Dios es tal, que los seres humanos queremos diversificarla y complicarla; tanto, que a veces quedamos atrapados en nuestra propia creación. ¿Cómo restaurar dicha simplicidad? Con la luz de Dios.",,,2025-01-23 11:17
144,Apotegmas,,"Sin verdad no hay amor. Pero no por eso repatirás verdades para dañar a las personas, porque el fin de la verdad es el amor.",,,2025-01-23 11:13
143,Reflexiones,,"El Hijo del Hombre no viene del reino de los cielos, sino que sale de Dios, y Dios está muy en tu interior, o en tu interior más secreto. Por eso se ha escrito que, mediante el sacrificio del Hijo se rasgó el velo del templo, que es tu cuerpo, abriendo entrada al lugar santísimo.",,,2025-01-23 11:09
142,Poesía,Agua y piedras,"Mira lo que hace ¦ el agua entre las piedras, ¦ Escucha lo que dice ¦ y desaparecerán las penas.",,,2025-01-21 19:09
141,Apotegmas,,"Solo Dios te librará de todo mal, confortará tu corazón, te guiará y protegerá en el camino de regreso a casa, contra todo el ejército de los cielos.",,,2025-01-21 19:08
140,Apotegmas,,"Hay una guerra en los cielos, y es una guerra para apoderarse de todo tu ser. Refúgiate en Dios.",,,2025-01-21 19:04
139,Poesía,Corral de estrellas,Si se pudiera vivir de estrellas ¦ Tendrías un corral de ellas.,,,2025-01-21 18:59
138,Apotegmas,,"Nunca dejes de hacer justicia por mano propia: Ayuda al necesitado, protege al débil, perdona a quien busca tu mal, ora por tu enemigo.",,,2025-01-21 18:58
137,Apotegmas,,Todo populista es un fascista con disfraz de campechano.,,,2025-01-21 18:52
136,Citas,,"Cuando veas un alma que anuncia el aborto como un acto benigno, sabrás que en ella reina el príncipe de las tinieblas y que está en peligro de muerte eterna. – Pío de Pietrelcina",,,2025-01-20 16:19
135,Citas,,Un milagro ocurre cuando cambias lágrimas por oración y miedo por fe. – Francisco de Asís,,,2025-01-20 16:14
134,Reflexiones,,"Lo que a veces nos enferma a los seres humanos no necesariamente es la situación, sino los rebotes psicológicos que inventamos para no aceptarla, los anticuerpos artificiales que construimos para evadir la realidad. Para que esto no pase, fíate de Dios y la mente no los generará.",,,2025-01-20 09:45
133,Reflexiones,,"Los seres humanos elegimos la «vida temporal» para servir a Dios aquí, y las miserias que padecemos cuentan como méritos. ¿Qué he conseguido? Un granito de arena.",,,2025-01-20 09:43
132,Apotegmas,,"Ora en lo secreto, ora en silencio, entra en comunión. Necesitarás de la oración diaria para regar y sostener el arbolito de tu fe, sobre todo en los primeros años. Los frutos vienen después.",,,2025-01-20 09:41
131,Apotegmas,,"When you present yourself before God all the virtues you have cultivated will melt, permeating your whole being and passing unnoticed. But if there is no love in you, they will be rejected and you will go down because of your pride. Offerings are accepted if they are out of love.",,,2025-01-20 09:35
130,Apotegmas,,El único y verdadero milagro: Que cambie tu corazón a la volundad de Dios.,,,2025-01-20 09:33
129,Reflexiones,,"Es pasmosa la cantidad de doctrinas que han sido puestas juntas en las abundantísimas páginas de lo que hoy llamamos Biblia. Sin embargo, hay un hilo conductor, por lo general subyacente y en ocasiones manifiesto. Para tomarlo con mucha calma al hilvanar la madeja.",,,2025-01-20 09:30
128,Reflexiones,,"Céntrate en lo que es, no en lo que no es. Si haces esto último, le das entidad al Enemigo.",,,2025-01-20 09:29
127,Apotegmas,,"En la eventualidad de que tengas que elegir entre Dios y el reino de los cielos, deberás optar por Dios sin dudarlo un sólo segundo. Es la única forma de quedar bien librado. (Bien librado significa que morirás primero para levantarte después.)",,,2025-01-20 09:28
126,Reflexiones,,"La pregunta no es cómo puedes probar que Dios existe; la pregunta es cómo puedes probar que tú existes. Una vez que logres responder esto, no tendrás dudas respecto de lo primero.",,,2025-01-20 09:22
125,Reflexiones,,"¿Sabías que puedes idolatrar a Dios? No lo hagas, porque no es compatible con su naturaleza ni con la naturaleza humana. Más bien, céntrate por completo en su amor.",,,2025-01-20 09:20
124,Apotegmas,,"Si no sirves a Dios con lo poco que tienes, servirás al Enemigo con lo que te sobra.",,,2025-01-20 09:18
123,Apotegmas,,"La verdad siempre cambia, pero sigue siendo una; como el árbol que brotó de una semilla, creció y finalmente dio fruto. Pero, a medida que el árbol llega a su desarrollo comapleto, los cambios en él no son tan notorios.",,,2025-01-19 22:38
122,Reflexiones,,"Ya son unas cuantas las décadas cinematográficas en las que se ha intentado infantilizar la brujería para hacerla pasar como trivial o como un simple juego, con películas diseñadas para difundir las prácticas y hacerlas parte de la cultura.",,,2025-01-19 22:36
121,Diario,,"Hoy entré a una iglesia muy antigua, católica obviamente, y hacia el final, el sacerdote le dijo a los feligreses que pasaran a recibir el agua bendita. Todos hicieron fila en el pasillo principal de la nave central y a medida que salían les daban el agua a cada uno para llevar.",,,2025-01-17 23:15
120,Apotegmas,,"Sé un buen patriarca, para que las mujeres no se vean forzadas a fingir empoderamiento y para que no sean usadas por el mundo. ¿Que no tienes los arrestos necesarios? Pídeselos a Dios.",,,2025-01-16 22:48
119,Apotegmas,,"Celebremos la vida, pero no hasta la embriaguez. Celebrémosla como el don de Dios que es.",,,2025-01-16 22:47
118,Apotegmas,,"Ríndete ante Dios, deja de bregar, entra en el reposo, y todo lo que realmente necesite tu alma, él te lo dará.",,,2025-01-16 22:46
117,Apotegmas,,"El diablo es tan artero, taimado y lagarto, que te hace creer que el puritanismo viene de Dios, y con ello, te inclina a creer que necesitas o puedes autojustificarte. Ni siquiera lo intentes.",,,2025-01-16 22:44
116,Apotegmas,,"Cuando el reino de los cielos te persiga, te juzgue y busque tu vida, refúgiate en Dios únicamente.",,,2025-01-16 22:43
115,Reflexiones,,"Nosotros somos aquellos que, en nuestra relación con Dios, concebimos la salvación. Esto es así no por asuntos meramente culturales o inculcados, como les gusta creer a los materialistas, sino porque es parte profundísima de nuestro ser, tan profunda que no hay manera de negarla.",,,2025-01-16 22:42
114,Apotegmas,,Es mejor ser un mal padre de tus hijos que un buen amigo de ellos.,,,2025-01-14 22:22
113,Apotegmas,,A los seres humanos se nos hace demasiado fácil vivir en un pasado que nunca tuvimos.,,,2025-01-14 22:19
112,Reflexiones,,"Cuando una pregunta no tiene solución, es probable que no tenga sentido en absoluto. Por ejemplo: ¿En qué momento empezó a existir el universo?",,,2025-01-14 22:18
111,Apotegmas,,Toma refugio en Dios y en nadie más que en Dios.,,,2025-01-11 08:53
