,T,C,E,F
73,Reflexiones,"Creemos un conflicto, digamos que el contrincante es el culpable y lleguemos al poder convenciendo al pueblo de que somos la única solución.",,2024-12-10 22:04
72,Reflexiones,"Siempre se ha comparado al hombre con los árboles. Agitados sus follajes por el Espíritu (viento), regadas sus raíces por el Agua de Vida y nutridas sus hojas por la Luz, los árboles bregan incansables por llegar al cielo. Pero su afán queda en eso, porque Dios está más allá. Por eso, en las Escrituras cristianas Jesucristo corrige la visión del ciego que acababa de ser curado y veía a los hombres como árboles, para que los vea como verdaderamente son, como hombres, como hijos de Dios y no meros aspirantes a los cielos, sino al sacrificio.",,2024-12-10 22:03
71,Apotegmas,Tu opinión no es humilde ni altiva; es sólo una opinión.,,2024-12-10 22:02
70,Diario,Es dificultoso encontrar algo interesante para escribir. A lo mejor es cuestión de simplemente empezar a hacerlo e improvisar sobre la marcha.,,2024-12-09 17:57
69,Reflexiones,"El plan es precarizar la vida humana todo lo posible, hasta el punto en que tomar lo que otros han creado para distribuirlo entre los demás no sea visto como lo que es, un robo, sino como una necesidad justificada.",,2024-12-09 17:56
68,Poesía,"VUELA LEJOS ¶ Vuela lejos, alma mía ¦ Rompe mis hierros, Sol del día.",,2024-12-09 17:53
67,Reflexiones,"Extraño que parezca, algunos problemas, estados mentales, conflictos, coyunturas sociales y otras situaciones, sólo pueden ser resueltos ignorándolos o poniendo la atención en sus opuestos. Si te centras en ellos, les darás entidad, crecerán y te engullirán.",,2024-12-09 17:53
66,Apotegmas,"Cristo sólo nace (en ti) a través de María. No hay otra forma, de allí que sea bendita entre todas las mujeres. Mientras más te sujetas a Dios en Espíritu, alma y cuerpo (es decir, mientras más María), más manifiesto está Cristo en ti.",,2024-12-08 13:51
65,Apotegmas,"A no ser que tengas alguna novedad teológica con que sorprender a Dios, ¿por qué no entras en comunión y oras por al menos media hora en silencio?",,2024-12-08 12:42
64,Reflexiones,"Unos de los factores que hacen que apercibamos el pasado y el futuro de forma diferente, son el deseo y la ambición vehementes. Sin ellos, es más fácil saber lo que vendrá y cuáles serán las consecuencias de las acciones pasadas y presentes.",,2024-12-08 12:37
63,Apotegmas,"Que nadie desvíe tu fe de Dios. La fe es una relación recíproca, incitada por Dios, que cuando cambia de objeto pierde su virtud.",,2024-12-08 12:03
62,Reflexiones,"La costumbre o tradición, también podría ser que quien cumple años sea quien prepara algo de comer para los invitados y les da un pequeño regalo para que recuerden la fecha.",,2024-12-08 11:31
61,Apotegmas,Olvídate de Dios y encontrarás a Dios.,,2024-12-08 09:38
60,Reflexiones,"Cada vez es más común escuchar a algunos decir que el mal y el bien no existen porque son relativos. Es al revés: el mal y el bien existen porque son relativos, y lo que buscamos es el bien menos relativo.",,2024-12-07 21:45
59,Poesía,DATE POR VENCIDO ¶ Date por vencido ¦ Muere en tu propio olvido ¦ Renace con nuevo brillo.,,2024-12-07 21:43
58,Apotegmas,Un corazón vacío no tendrá problemas en llamar amor al emocionalismo.,,2024-12-07 21:38
57,Apotegmas,"Y sucedió que los hombres crearon una religión en nombre de un dios vengativo, celoso, sediento de sangre, castigador y que habita en las sombras, para esclavizarse a su ley y arrogarse el derecho de matar a quienes realmente buscan a Dios.",,2024-12-07 21:38
56,Apotegmas,"Buscar la verdad es creer, pero creer no necesariamente es buscar la verdad.",,2024-12-07 21:37
55,Apotegmas,"Que tu infancia te persiga y no te deje ir, puede ser tanto una tortura como una bendición.",,2024-12-07 21:36
54,Apotegmas,"No sale el Sol todos los días; que no te engañen. Mas tú, persevera.",,2024-12-07 10:34
53,Apotegmas,La fe es exclusiva de Dios. No la desperdicies en las cosas del cielo ni en las de la tierra.,,2024-12-06 15:50
52,Apotegmas,"El populismo tiene la capacidad de convertir la ignorancia en identidad, la identidad en partidismo y el partidismo en totalitarismo.",,2024-12-06 12:30
51,Poesía,SABÍA MUY BIEN QUE ERA OCTUBRE ¶ Se revuelca en la tumba Colón ¦ Por oír a las gentes decir ¦ Que fue él quien las Américas descubre ¦ Cuando sabía muy bien que era octubre.,,2024-12-06 12:28
50,Apotegmas,"El punto intermedio entre una verdad y una mentira, es siempre una mentira. El punto intermedio entre el bien y el mal, no siempre es el mal.",,2024-12-06 12:28
49,Reflexiones,"Si no amas al mundo como lo ama Dios, ni te atrevas a siquiera soñar con ir a alguno de los cielos; serías rechazado de inmediato. De todas formas, el ser humano es para estar aquí, con Dios, y no allá.",,2024-12-06 12:05
48,Apotegmas,"Algunas personas no quieren aceptar la libertad que hay en Dios, porque intuyen que las consecuencias de usarla mal son peores que las de seguir siendo esclavos.",,2024-12-06 12:00
47,Reflexiones,"Son innumerables los estragos que puede hacer la filosofía en el campo de la fe. Busca aclarar, pero puede entorpecer y desviar; y para el desprevenido, reduce a Dios a conceptos.",,2024-12-06 11:55
46,Apotegmas,El sentido común es el menos común de los sentidos. (Se me ocurrió mientras me preparaba para saltar en paracaídas por diversión.),,2024-12-05 09:23
45,Citas,"Un grupo humano se transforma en multitud manipulable cuando se vuelve sensible al carisma y no a la competencia, a la imágen y no a la idea, a la afirmación y no a la prueba, a la repetición y no a la argumentación, a la sugestión y no al razonamiento. - Jean François Revel",,2024-12-05 09:18
44,Apotegmas,"La mentira depura y refina la verdad, y existirá hasta que la verdad se manifieste de manera absoluta.",,2024-12-04 18:55
43,Apotegmas,La soledad es un privilegio que pocos pueden costear y mucho menos disfrutar.,,2024-12-04 18:55
42,Apotegmas,"En dissant la verité, nous oublions la realité.",,2024-12-04 18:54
41,Poesía,"¡HEREJE! ¶ Haced una pira, que sabemos a quién quemar ¦ Rociadle mucho aceite para que sufra más ¦ De allende las montañas vendrán y verán ¦ Que sabemos hacer justicia sin perdonar ¶ Un mandato tenemos y de seguro se cumplirá ¦ Porque somos los elegidos y no hay nadie más ¦ El dios de nuestros padres nos urge a odiar ¦ A quienes no se someten a su ley y voluntad ¶ Haced una pira, que sabemos a quién quemar ¦ Rociadle mucho aceite para que sufra más ¶ Y cuando su cuerpo sea fuego, humo y hedor ¦ Fervor devoto sentiremos viéndolo reventar ¦ Contra sumisión y obediencia se ha levantado ¦ Ha de pagar su ofensa según hemos jurado ¶ Haced una pira, que sabemos a quién quemar ¦ Rociadle mucho aceite para que sufra más ¶ Que no se hable de olvido y misericordia ¦ Que nadie se atreva a salir en su defensa ¦ Ahora que tenemos sangre para derramar ¦ Finalmente podremos a nuestro dios adorar ¶ Haced una pira, que sabemos a quién quemar ¦ Rociadle mucho aceite para que sufra más ¦ De allende las montañas vendrán y verán ¦ Que sabemos hacer justicia sin perdonar.",,2024-12-04 18:49
40,Apotegmas,"Hay una batalla en los cielos, y es una batalla por todo tu ser.",,2024-12-04 09:34
39,Apotegmas,Que no usen tu esperanza y tu fe para darle entidad a algún dios.,,2024-12-04 09:15
38,Apotegmas,Espera en Dios para contemplar su luz y recibir su gracia.,,2024-12-04 09:11
37,Apotegmas,La verdadera política está detrás de la política.,,2024-12-03 19:06
36,Apotegmas,La oscuridad y el mal son mucho más que simple ausencia de Luz y Verdad. Ve con tiento.,,2024-12-03 09:38
35,Apotegmas,"Si tu fe y tu razón no riñen, es porque no estás usando bien la razón o tu fe es débil.",,2024-12-03 09:37
34,Poesía,TUS LÁGRIMAS SON LOCURA ¶ Me ha dicho una bruja ¦ que el tiempo es laguna ¦ que fortuna la lluvia ¦ y tus lágrimas locura.,,2024-12-02 22:10
33,Diario,Finalmente estoy logrando reducir mis sitios y mi actividad en la red a un mínimo. Deshacer cualquier hábito requiere cierto esfuerzo.,,2024-12-02 22:07
32,Apotegmas,Es todo tan simple que bregamos por complicarlo.,,2024-12-02 22:06
31,Apotegmas,Todo lo que necesitas saber cabe en un pequeño trozo de papel o ni siquiera necesita estar escrito.,,2024-12-02 22:04
30,Reflexiones,"Me tiene impresionado los esfuerzos denodados que se están haciendo a nivel mundial para que todo, absolutamente todo, quede sujeto al emocionalismo. Parte de la Agenda.",,2024-12-02 11:54
29,Cuentos,"BRUJA ¶ A esa mujer le cayó un rayo y se convirtió en bruja, o más bien vidente. Pero como ya antes era cristiana, dedicó sus facultades a saber más de Dios. Pronto aventajó a los teologistas del barrio y se comió un bizcocho.",,2024-12-02 11:51
28,Apotegmas,"Si la identidad de tu nación no es la busca de la verdad y la libertad, únicamente le servirá para ser manipulada y esclavizada. Ya se ha dado inicio a la criba.",,2024-12-02 11:50
27,Apotegmas,"La razón por la que no hay forma de que te justifiques ante Dios, es que no es necesario. Tan innecesario es, que insistir en ello puede tener efectos contrarios.",,2024-12-02 11:49
26,Apotegmas,"Si usas la fe para negar la realidad, el mundo te vencerá. Si la usas para entenderla, te dará sabiduría.",,2024-12-01 21:24
25,Apotegmas,"Somos muy afortunados, porque no podemos tener ni hacer todo lo que queremos.",,2024-12-01 10:24
24,Reflexiones,"Si te pones una ristra de ajos al cuello para repeler a las vampiresas, ellas te la arrancarán en una fracción de nada y procederán a hacer un aliño con ellos, mezclándolos con la sangre que te chuparán del cuello. El único repelente verdadero es tu entereza moral.",,2024-12-01 10:23
23,Apotegmas,"La labor eterna del ser humano siempre ha sido someter el reino de los cielos a Dios, mediante el sacrificio de la propia carne.",,2024-12-01 10:21
22,Apotegmas,"La realidad siempre supera a la ficción, de modo que si estás aburrido es probable que alguien te haya cerrado los ojos o que los hayas cerrado tú mismo.",,2024-12-01 10:21
21,Apotegmas,"Que tu única identidad, si acaso necesitas alguna, sea la busca de la Verdad.",,2024-11-30 21:30
20,Apotegmas,"Ahórrate el engorroso trámite de ir a alguno de los cielos y quédate aquí, con Dios; hay trabajo por hacer.",,2024-11-30 21:29
19,Citas,"Adonde no pueden llegar ni tu vista ni tu entendimiento, llega tu fe. - Agustín de Hipona",,2024-11-30 21:28
18,Cuentos,"ADÁN EN EL BAR DE PICHUCO ¶ Al cabo de una larga y agotadora mañana de trabajo para sustentar la carne, me dirigí al bar de Pichuco, en la esquina de Campichuelo y Rivadavia. A esas horas del día no sobran las mesas y como no quería sentarme en la barra, usé algo de paciencia para encontrar una para mí solo, aunque sea en un rincón sin vista a la calle. Al recorrer el lugar con la mirada me di una sorpresa agradable: un amigo de la infancia comía pizza en una mesa, sin compañía. Su nombre era Adán, desde un principio. Nosotros lo llamábamos así porque siempre salía de casa a jugar con una manzana en la mano, pero tengo entendido que su verdadero nombre era otro, que de todas formas no viene al caso. Adán masticaba cansino un buen bocado de pizza de alcaparras, con la mirada fija en la silla libre frente a él. Tragó lo que tenía en la boca y la dirección de su mirada no varió en nada. Me acerqué y cuando lo llamé por su nombre me dirigió esa misma mirada abstraída, sin reconocerme al inicio, pero cuando me recordó se puso de pie, me estrechó la mano y me invitó a ocupar el asiento. Me vendrá bien algo de conversación, pensé. ¶ Después de algún intercambio de palabras formales no me fue fácil pasar por alto lo compungido de su rostro, por lo que le pregunté qué le sucedía, qué lo afligía, incomodándolo notoriamente en su silla, con lo que intentó explicarme su situación. Todo comenzó hace apenas un mes, me contó, cuando todavía trabajaba con mi mujer, Eva, en unos campos para un patrono estricto pero generoso. Nuestra ocupación era cosechar frutos muy diversos, en un huerto inmenso de numerosas hectáreas, junto a otros tantos recolectores que, al igual que nosotros, tenían allí mismo un lugar para pasar la noche y así ahorrar en viáticos de lunes a sábado. Ningún día faltaban los alimentos, me decía, y comíamos todos juntos antes de trabajar, a la una de la tarde, y una merienda ligera a las diecisiete y media. Conocí a Eva en esos huertos y nos llevamos tan bien desde el inicio, nos compenetramos tanto desde los primeros intercambios, que a veces sentíamos que eramos una misma persona. Pensábamos casi igual, queríamos casi siempre lo mismo, nos cansábamos al mismo tiempo, nos despertábamos juntos justo antes de que saliera el sol, y otras cosas difíciles de explicar para nuestros compañeros de trabajo. Un día determinado, el patrono reunió a todos los cocechadores y nos dio una nueva orden: Nadie puede comer de los frutos de los árboles que están en medio del huerto. Están reservados para mí y para con quien yo quiera compartirlos. Todos lo entendimos perfectamente y aceptamos la nueva condición, porque siendo que la fruta y la comida abundaban en el huerto, ¿quién tendría la extraña ocurrencia de tomar lo que estaba prohibido? ¶ Unos días después llegaron nuevos cosechadores al huerto. Eran gente de muy lejos, con otro espíritu en el habla y costumbres peregrinas, contratados por la sobreabundancia de fruta, para que el exceso no se pudriera en el suelo. Eva cosechaba cerca del centro del huerto, cuando uno de esos nuevos trabajadores se acercó a los árboles prohibidos, tomó un fruto y se dispuso a comerlo. Ella le dijo que no se podía hacer tal cosa, a lo que el alienígena respondió preguntándole por qué. Se lo explicó palabra por palabra, amablemente, tal como lo había oído; pero el recién llegado, en lugar de acatar la disposición del patrono, le dio un buen mordisco a la fruta para demostrarle que no pasaba nada al hacerlo. Eva, convencida, tomó ella misma otra de esas frutas y la probó, comprobando que, en efecto, la nueva regla no tenía sentido y que, por tanto, no era cierto que esos frutos fueran prohibidos. Y no sólo eso, le gustó tanto el sabor y el color que vino rauda a mi lado para que también yo sintiera lo excelente que era, con esa textura tan agradable. Sin saber que la fruta que me daba Eva provenía de los árboles prohibidos, comí y me deleité con tan buen producto de la tierra. ¶ Tres días después, con el calor del verano, descansábamos Eva y yo a la sombra de unos árboles, en un lugar del huerto que únicamente nosotros conocíamos. Escuchamos de pronto la voz del patrono que nos llamaba por nuestro nombre y presentimos algo malo. Nos levantamos, salimos al encuentro y le preguntamos en qué podíamos ayudarle. El patrono, algo airado, inquirió si habíamos comido de los frutos prohibidos del medio del huerto. Miré a Eva extrañado e intuí de inmediato que el fruto que me había dado era de esa lugar. Rápidamente, sin pensarlo, le dije al patrono que era Eva quien me había dado de comer y que yo era inocente. Como es lógico, el patrono decidió expulsarnos a los dos. Tuvimos que irnos de inmediato y Eva se fue de mi lado apenas salimos de aquellos campos. ¶ Ahora entendía yo la tristeza de Adán: no sólo había perdido tan buen empleo, sino que Eva ya no estaba a su lado. Pasados unos dos minutos sin intercambiar palabras y sin que lo buscara, me vino a la cabeza una solución para la situación de Adán. Tengo la respuesta, le dije; sé cómo puedes recuperar tu empleo y quizá también a Eva. Adán abrió los ojos todo lo que pudo y mostró en su expresión una vislumbre de esperanza. La solución es más fácil de lo que crees, le expliqué. Debes volver a los campos de tu patrono, pedir permiso para hablar con él cara a cara y decirle las siguientes palabras: Perdóneme por no haber cuidado a Eva para que no comiera del fruto prohibido; no volverá a suceder. Estoy seguro de que si le dices eso te perdonará, te devolverá el empleo y después Eva podrá volver al huerto contigo. Adán se levantó de la silla impetuoso, ruidoso, se puso el sombrero de regreso, dejó algunos billetes en la mesa para pagar la pizza y el jugo de pomelo, me dio un buen abrazo y salió presuroso del bar. ¡Gracias!, me gritó desde la puerta. ¶ Me quedé allí, sentado, hasta terminar mis alimentos. Cuando me disponía a pagar lo que había consumido, mi corazón fue invadido por una incomodidad, y era que me estaba percatando de que el orgullo de haber ayudado a mi amigo tan eficazmente, no había dejado lugar ni tiempo a que preguntase, antes de que se fuera, quién era su patrono y dónde estaban esos campos para poder yo trabajar en ellos. ¶ Nunca volví a saber de Adán.",,2024-11-30 21:23
17,Apotegmas,"Puedes hablar en términos teológicos acerca de las cosas del Espíritu, pero no puedes crear o inventar espiritualidad usando constructos teológicos; a no ser que lo que en realidad quieras es levantar una nueva Torre de Babel.",,2024-11-30 09:22
16,Citas,It is hard to imagine a more stupid or more dangerous way of making decisions than by putting those decisions in the hands of people who pay no price for being wrong. - Thomas Sowell,,2024-11-30 08:22
15,Apotegmas,"Siempre que busques a Dios hacia fuera, te toparás con alguien que dice representarlo.",,2024-11-30 08:19
14,Apotegmas,La admiración es una especie de envidia sana.,,2024-11-29 22:12
13,Apotegmas,El recuerdo más puro es el olvido.,,2024-11-29 21:31
12,Reflexiones,"No es que haya que usar el raciocinio, sino que es inevitable hacerlo al buscar a Dios y al hablar de él; pero no por eso se caerá en el absurdo de poner la fe y la razón al mismo nivel.",,2024-11-29 12:29
11,Apotegmas,"La Verdad existe desde siempre, de modo que no gastes fuerzas en inventar una propia. Sólo hace falta abrir los ojos. ¿Sabes abrir los ojos?",,2024-11-29 12:25
10,Reflexiones,"Que los humanos somos bichos raros en este mundo o, mejor, de naturaleza compuesta: tenemos lo terrenal o animal, lo humano, y lo divino. Lo humano es la semilla que crece en lo terrenal y se dirige a la Luz de lo divino: sin sacrificarlo, no puede dar buenos frutos de divinidad. Mas, sacrificio no implica ir en contra de lo humano o anularlo, sino depurarlo según la divinidad, para que (re)cobre su verdadero y original resplandor a imagen de lo celestial. Este proceso paulatino y paciente nunca denigra ni detesta al mundo, sino que lo ama para redimirlo. Ama, pues, al mundo; pero como lo ama Dios.",,2024-11-29 12:11
9,Apotegmas,"Mira hacia arriba para idolatrar, mira hacia abajo para despreciar, mira hacia adentro para conocer el Ser y amar.",,2024-11-28 19:22
8,Reflexiones,"Cuando aliño mis alimentos con un pesto de perejil con ajo, aceite de oliva y sal, llego a entender que Dios existe y que no solamente es.",,2024-11-28 16:31
7,Apotegmas,"La gente vive de eso, de mitos e historias, de los peces. Pero tú, junto con eso y para santificarlo, no pierdas la oportunidad de darles el Pan de Vida.",,2024-11-28 16:31
6,Reflexiones,"Sin importar si tu tradición es de los hombres o no, cuando Dios así lo disponga, tendrás que hallarte solo en el desierto para tomar la decisión correcta. Te parecerá el fin, pero es sólo el inicio. Creerás que mueres de hambre, pero Dios te dará el sustento, palabra de vida.",,2024-11-28 12:26
5,Reflexiones,"No es cierto que un individuo que no cree en Jesús como Dios, no sea cristiano; pero sí es justo decir que es un cristiano que apenas se ha iniciado en el proceso a la plenitud: a Jesús lo llamaron el mesías, a Jesús el mesías lo llamaron el Cristo, a Jesucristo lo llamaron Dios. «De manera que nosotros de aquí en adelante a nadie conocemos según la carne; y aun si a Cristo conocimos según la carne, ya no lo conocemos así. De modo que si alguno está en Cristo, nueva criatura es; las cosas viejas pasaron; he aquí todas son hechas nuevas.» (II Corintios 5, 16-17)",,2024-11-28 12:26
4,Apotegmas,"Es sólo geopolítica bañada en chocolate espiritual, para que el devoto se coma el bombón sin chistar.",,2024-11-28 12:25
3,Apotegmas,"No hay forma de creer en Dios si no es por fe. Paradójicamente, si no tienes fe, puedes pedírsela a Dios.",,2024-11-28 12:21
2,Apotegmas,"El relativismo dogmático te pone en la posición más manipulable y débil, a la vez que te hace creer que has sido liberado. Un prodigio.",,2024-11-28 11:55
1,Apotegmas,"El universo todo confabula para que busques a Dios. Puedes intentar resistirte; mas también puedes rendirte, dejarte guiar y despertar.",,2024-11-28 11:51
